game_id,date,team1,team2,team1_score,team2_score,winner,loser,environment,game_type,team1_pitcher,team2_pitcher,team1_hits,team1_home_runs,team1_errors,team1_batting_avg,team2_hits,team2_home_runs,team2_errors,team2_batting_avg,team1_pitcher_era,team1_pitcher_strikeouts,team2_pitcher_era,team2_pitcher_strikeouts,attendance,game_duration,temperature,wind_speed
Washington Nationals_Philadelphia Phillies_20240707,2024-07-07T00:00:00,Washington Nationals,Philadelphia Phillies,4,5,Philadelphia Phillies,Washington Nationals,neutral,interleague,Washington Nationals #2,Aaron Nola,5,2,0,0.296,4,2,0,0.251,5.79,8,3.45,8,16379,239,66,14
San Francisco Giants_Oakland Athletics_20240404,2024-04-04T00:00:00,San Francisco Giants,Oakland Athletics,5,0,San Francisco Giants,Oakland Athletics,home,regular,Logan Webb,Oakland Athletics #3,8,0,0,0.241,1,0,0,0.269,4.18,5,5.67,13,47924,233,75,6
Chicago White Sox_Pittsburgh Pirates_20240822,2024-08-22T00:00:00,Chicago White Sox,Pittsburgh Pirates,3,2,Chicago White Sox,Pittsburgh Pirates,home,regular,Chicago White Sox Closer,Pittsburgh Pirates #2,7,0,1,0.231,4,0,3,0.3,5.06,5,6.72,10,38770,157,84,4
Cincinnati Reds_Toronto Blue Jays_20240524,2024-05-24T00:00:00,Cincinnati Reds,Toronto Blue Jays,8,3,Cincinnati Reds,Toronto Blue Jays,home,regular,Cincinnati Reds #2,Alek Manoah,9,1,0,0.221,3,2,0,0.319,4.16,8,5.57,6,17634,203,93,5
New York Mets_Seattle Mariners_20240619,2024-06-19T00:00:00,New York Mets,Seattle Mariners,6,5,New York Mets,Seattle Mariners,home,regular,Jacob deGrom,Logan Gilbert,5,3,0,0.25,8,0,0,0.264,2.84,10,5.04,12,27017,181,69,11
Detroit Tigers_Minnesota Twins_20240820,2024-08-20T00:00:00,Detroit Tigers,Minnesota Twins,2,4,Minnesota Twins,Detroit Tigers,home,regular,Detroit Tigers #3,Minnesota Twins Closer,6,2,0,0.274,5,3,0,0.287,7.79,11,3.36,7,48874,190,78,8
Los Angeles Angels_Colorado Rockies_20240823,2024-08-23T00:00:00,Los Angeles Angels,Colorado Rockies,3,5,Colorado Rockies,Los Angeles Angels,home,regular,Los Angeles Angels Ace,Colorado Rockies Ace,2,0,0,0.264,4,3,3,0.269,6.07,6,3.46,15,24100,218,68,0
St. Louis Cardinals_Colorado Rockies_20240905,2024-09-05T00:00:00,St. Louis Cardinals,Colorado Rockies,6,5,St. Louis Cardinals,Colorado Rockies,away,interleague,Jack Flaherty,Colorado Rockies #2,10,1,0,0.257,5,1,3,0.317,4.25,9,8.18,13,43912,152,78,3
Seattle Mariners_Houston Astros_20240518,2024-05-18T00:00:00,Seattle Mariners,Houston Astros,5,3,Seattle Mariners,Houston Astros,home,regular,Robbie Ray,Framber Valdez,8,2,0,0.281,2,2,0,0.317,3.88,5,4.61,3,40263,208,83,2
Pittsburgh Pirates_New York Mets_20240813,2024-08-13T00:00:00,Pittsburgh Pirates,New York Mets,2,7,New York Mets,Pittsburgh Pirates,away,division,Pittsburgh Pirates #2,Jacob deGrom,6,2,0,0.227,9,3,0,0.296,7.08,9,3.19,15,45993,171,71,15
